UDI;Product ID;Type;Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Failure Type
6862;H36275;H;301.1;311.3;2207;16.6;43;No Failure
2192;L49371;L;299.6;309;1648;33.6;70;No Failure
1818;L48997;L;298.1;307.7;1664;27.6;145;No Failure
3329;L50508;L;301.6;310.6;1418;43.9;129;No Failure
5955;L53134;L;300.8;310.9;1732;25.7;109;No Failure
2090;L49269;L;299.5;309.3;1941;22.5;18;No Failure
8819;M23678;M;297.4;308.7;1481;48;117;No Failure
7359;M22218;M;299.5;310.1;1659;31.5;44;No Failure
8985;L56164;L;297.1;307.8;1406;60.4;133;No Failure
8912;L56091;L;297.1;308.3;1773;23.8;169;No Failure
7971;M22830;M;300.9;312.1;1297;48.6;76;No Failure
6141;L53320;L;300.8;310.7;1589;34.3;144;No Failure
3402;M18261;M;301.4;310.7;1617;34.3;101;No Failure
7000;M21859;M;300.6;310.7;1457;36.7;193;No Failure
6483;L53662;L;300.6;309.9;1480;43.7;153;No Failure
2470;L49649;L;299;308.7;1507;37.5;134;No Failure
7690;L54869;L;300.6;311.7;1432;39.2;2;No Failure
9540;L56719;L;299.4;310.8;1424;47.7;109;No Failure
8158;L55337;L;299.6;310.8;1498;46.9;116;No Failure
4559;L51738;L;302.7;310.7;1369;47.5;11;Heat Dissipation Failure
4742;L51921;L;303.2;311.3;1393;52.9;12;No Failure
4690;M19549;M;303.4;311.5;1560;36.4;114;No Failure
849;L48028;L;296.3;307.4;1465;47.1;215;No Failure
9394;H38807;H;297.7;308.2;1489;43;151;No Failure
4614;L51793;L;303.1;311.3;1403;55.6;150;No Failure
3851;M18710;M;302.3;311;1421;41.3;182;No Failure
9030;L56209;L;297.4;308.3;1483;38.8;23;No Failure
3147;M18006;M;300.5;309.9;1780;26.5;101;No Failure
6510;L53689;L;301.1;310.1;1564;36.8;7;No Failure
2648;L49827;L;299.8;309.4;1408;45.6;156;No Failure
2511;L49690;L;299.1;309;1405;53.8;18;No Failure
6584;M21443;M;301.5;310.5;1503;38.2;200;No Failure
3349;M18208;M;301.3;310.7;1532;40.7;178;No Failure
7620;L54799;L;300.6;311.5;1459;47;63;No Failure
1792;L48971;L;298.1;307.8;1524;40.8;71;No Failure
9256;L56435;L;298.2;309;1651;31.5;197;No Failure
9804;L56983;L;298.4;309.2;1692;29.8;137;No Failure
176;L47355;L;298.2;308.1;1382;43.5;37;No Failure
7333;M22192;M;299.8;310.3;1805;23.7;198;No Failure
9510;M24369;M;299.2;310.4;1502;39.8;34;No Failure
972;L48151;L;295.9;306.6;1557;41.1;113;No Failure
2;L47181;L;298.2;308.7;1408;46.3;3;No Failure
7821;M22680;M;299.8;311.2;1706;29.2;148;No Failure
163;L47342;L;298.3;308.1;1586;35.5;0;No Failure
8297;L55476;L;298.9;310.3;1436;39;32;No Failure
1965;M16824;M;297.8;307.5;1405;46.9;113;No Failure
7447;L54626;L;300.2;311.8;1379;51;46;No Failure
2720;L49899;L;299.5;309.2;1690;29.2;108;No Failure
6642;L53821;L;301.5;310.5;1702;28.7;135;No Failure
8534;M23393;M;298.6;309.4;1465;41.1;30;No Failure
5760;L52939;L;301.8;311.3;1551;35.8;61;No Failure
7890;M22749;M;300.7;312.4;1371;61.7;102;No Failure
7085;L54264;L;300.6;310.3;1794;24.4;211;No Failure
4145;L51324;L;301.8;310.1;1738;28;58;No Failure
1280;M16139;M;298.3;309.6;1531;40.1;81;No Failure
4942;M19801;M;303.6;312.7;1699;31.5;105;No Failure
9117;H38530;H;297.6;308.7;1659;32.1;49;No Failure
7337;H36750;H;299.9;310.5;1549;42.8;208;No Failure
9161;H38574;H;297.5;308.5;1671;28;158;No Failure
4576;M19435;M;302.9;311;1437;49.9;55;No Failure
2553;H31966;H;299.3;309.1;1552;40.7;120;No Failure
6082;L53261;L;300.9;310.7;1517;41.7;210;No Failure
8107;M22966;M;300.4;312;1596;30.4;191;No Failure
6318;L53497;L;300.9;310.3;1321;48.8;150;No Failure
1549;M16408;M;298.3;308.8;1349;52.1;104;No Failure
1987;L49166;L;298.1;307.6;1498;42.9;171;No Failure
3703;L50882;L;302;311.2;1434;44.9;15;No Failure
1883;M16742;M;298;307.6;1581;43.4;113;No Failure
8703;L55882;L;297.2;308.6;1774;23;30;No Failure
2401;H31814;H;299.2;308.6;1462;55;163;No Failure
7751;L54930;L;300.4;311.7;1444;51.2;174;No Failure
3055;H32468;H;300.2;309.3;1342;48.7;68;No Failure
2600;M17459;M;299.2;308.9;1447;39.6;22;No Failure
1133;L48312;L;296.8;307.9;1271;61.4;125;No Failure
7401;M22260;M;299.6;310.6;1633;34.2;151;No Failure
6556;H35969;H;301.5;310.7;1394;46.7;130;No Failure
3302;L50481;L;301.3;310.5;1365;47.7;70;No Failure
4883;L52062;L;303.7;312.5;1462;46.2;165;No Failure
3352;L50531;L;301.4;310.8;1680;31.4;185;No Failure
598;H30011;H;297.6;309.6;1428;46.6;13;No Failure
9088;L56267;L;297.1;307.8;1681;27.6;181;No Failure
7607;M22466;M;300.4;311.3;1350;56.5;31;No Failure
4846;M19705;M;303.3;311.8;1583;33.3;72;No Failure
6145;M21004;M;301.1;311.1;1615;37.7;153;No Failure
5441;H34854;H;303;312.5;1698;30;89;No Failure
6414;L53593;L;300.4;310.1;1614;33.5;191;No Failure
2850;L50029;L;300.4;309.3;1766;28.2;207;No Failure
9444;H38857;H;298;308.8;1411;53.8;73;No Failure
5600;M20459;M;302.7;312;1652;31;81;No Failure
